key	lang	from-state	applied
uni.q.week	sa	absent	yes
uni.q.month	en	absent	yes
uni.q.month	ru	absent	yes
uni.q.month	lv	absent	yes
uni.q.month	th	absent	yes
uni.q.month	gd	absent	yes
uni.q.month	tt	absent	yes
uni.q.month	uk	absent	yes
uni.q.month	cs	absent	yes
uni.q.month	zh	absent	yes
uni.q.month	ko	absent	yes
uni.q.month	ar	absent	yes
uni.q.month	nl-be	absent	yes
uni.q.month	es	absent	yes
uni.q.month	nl	absent	yes
uni.q.month	de	absent	yes
uni.q.month	fr	absent	yes
uni.q.month	he	absent	yes
uni.q.month	hi	absent	yes
uni.q.month	bn	absent	yes
uni.q.month	fa	absent	yes
uni.q.month	ur	absent	yes
uni.q.month	ja	absent	yes
uni.q.month	da	absent	yes
uni.q.month	nb	absent	yes
uni.q.month	sv	absent	yes
uni.q.month	fi	absent	yes
uni.q.month	tr	absent	yes
uni.q.month	hu	absent	yes
uni.q.month	sa	absent	yes
uni.q.year	en	absent	yes
uni.q.year	ru	absent	yes
uni.q.year	lv	absent	yes
uni.q.year	th	absent	yes
uni.q.year	gd	absent	yes
uni.q.year	tt	absent	yes
uni.q.year	uk	absent	yes
uni.q.year	cs	absent	yes
uni.q.year	zh	absent	yes
uni.q.year	ko	absent	yes
uni.q.year	ar	absent	yes
uni.q.year	nl-be	absent	yes
uni.q.year	es	absent	yes
uni.q.year	nl	absent	yes
uni.q.year	de	absent	yes
uni.q.year	fr	absent	yes
uni.q.year	he	absent	yes
uni.q.year	hi	absent	yes
uni.q.year	bn	absent	yes
uni.q.year	fa	absent	yes
uni.q.year	ur	absent	yes
uni.q.year	ja	absent	yes
uni.q.year	da	absent	yes
uni.q.year	nb	absent	yes
uni.q.year	sv	absent	yes
uni.q.year	fi	absent	yes
uni.q.year	tr	absent	yes
uni.q.year	hu	absent	yes
uni.q.year	sa	absent	yes
uni.q.compose	en	absent	yes
uni.q.compose	ru	absent	yes
uni.q.compose	lv	absent	yes
uni.q.compose	th	absent	yes
uni.q.compose	gd	absent	yes
uni.q.compose	tt	absent	yes
uni.q.compose	uk	absent	yes
uni.q.compose	cs	absent	yes
uni.q.compose	zh	absent	yes
uni.q.compose	ko	absent	yes
uni.q.compose	ar	absent	yes
uni.q.compose	nl-be	absent	yes
uni.q.compose	es	absent	yes
uni.q.compose	nl	absent	yes
uni.q.compose	de	absent	yes
uni.q.compose	fr	absent	yes
uni.q.compose	he	absent	yes
uni.q.compose	hi	absent	yes
uni.q.compose	bn	absent	yes
uni.q.compose	fa	absent	yes
uni.q.compose	ur	absent	yes
uni.q.compose	ja	absent	yes
uni.q.compose	da	absent	yes
uni.q.compose	nb	absent	yes
uni.q.compose	sv	absent	yes
uni.q.compose	fi	absent	yes
uni.q.compose	tr	absent	yes
uni.q.compose	hu	absent	yes
uni.q.compose	sa	absent	yes
uni.q.progress	en	absent	yes
uni.q.progress	ru	absent	yes
uni.q.progress	lv	absent	yes
uni.q.progress	th	absent	yes
uni.q.progress	gd	absent	yes
uni.q.progress	tt	absent	yes
uni.q.progress	uk	absent	yes
uni.q.progress	cs	absent	yes
uni.q.progress	zh	absent	yes
uni.q.progress	ko	absent	yes
uni.q.progress	ar	absent	yes
uni.q.progress	nl-be	absent	yes
uni.q.progress	es	absent	yes
uni.q.progress	nl	absent	yes
uni.q.progress	de	absent	yes
uni.q.progress	fr	absent	yes
